Control_ID,Control_Name,Annex_A_Domain,Technology_Area,Control_Owner_Role,Implementation_Status,Technical_Implementation_Notes,Evidence_Type,Evidence_Naming_Example,ISO_Clause_Reference,Last_Reviewed_Date,NIST_CSF_2_Mapping,Cyber_Essentials_Mapping,Notes
A.6.3,Information security awareness education and training,People controls,Process,CISO,Evidenced,"Annual mandatory information security awareness training delivered via KnowBe4; phishing simulation campaigns run quarterly; completion reports retained.",Training completion report,2026-05-01_A.6.3_Process_AwarenessTraining_CISO_v1.csv,ISO 27001:2022 Annex A 6.3,2026-05-01,PR.AT-01,N/A,Minimum 95% completion rate required before surveillance audit; remedial training assigned to non-completers within 14 days.
A.6.5,Responsibilities after termination or change of employment,People controls,Process,HR Manager,Implemented,"Leaver process documented; IT access revoked within four hours of confirmed departure; asset return checklist completed; NDA obligations communicated at exit interview.",Leaver checklist / account disable evidence,2026-05-01_A.6.5_Process_LeaverProcess_HRMgr_v1.pdf,ISO 27001:2022 Annex A 6.5,2026-05-01,PR.AA-02,User Access Control,Spot-check leaver evidence against AD/Entra ID account disable timestamps to verify SLA compliance.
A.8.2,Privileged access rights,Technological controls,M365 / Azure,IAM Owner,Implemented,"PIM enabled for all Entra ID and Azure privileged roles; permanent Global Administrator assignments limited to break-glass accounts; privileged role reviews run quarterly.",PIM assignment report,2026-05-01_A.8.2_EntraID_PIM-RoleReport_IAMOwner_v1.csv,ISO 27001:2022 Annex A 8.2,2026-05-01,PR.AA-05,User Access Control,Confirm that PIM activation requires MFA and manager approval for all roles at Tier 0 scope.
A.8.5,Secure authentication,Technological controls,M365 / Azure,IAM Owner,Evidenced,"MFA enforced for all users and admins via Conditional Access; legacy authentication blocked; Entra ID Identity Protection risk policies active; FIDO2 keys deployed for Tier 0 admins.",MFA registration report / CA policy export,2026-05-01_A.8.5_EntraID_MFA-RegistrationReport_IAMOwner_v1.csv,ISO 27001:2022 Annex A 8.5,2026-05-01,PR.AA-01,User Access Control,"Target 100% MFA registration; follow up on any per-user MFA 'Enabled' (not Enforced) states remaining from legacy configuration."
A.8.7,Protection against malware,Technological controls,M365 / Azure / On-Prem,Endpoint Security Lead,Evidenced,"Microsoft Defender for Endpoint deployed on all endpoints and servers; Safe Attachments and Safe Links active in M365; ASR rules in Block mode; signature currency monitored via MDE dashboard.",MDE onboarding report / EOP policy export,2026-05-01_A.8.7_MDE_OnboardingReport_EndpointSec_v1.csv,ISO 27001:2022 Annex A 8.7,2026-05-01,DE.CM-09,Malware Protection,Confirm ASR rules are in Block (not Audit) mode; validate exclusions register is current and approved.
A.8.9,Configuration management,Technological controls,M365 / Azure / On-Prem,IT Manager,Implemented,"Azure Policy and Intune compliance policies enforce baseline configurations; CIS benchmark applied to Windows endpoints via Intune; configuration drift detected via Defender for Cloud.",Azure Policy compliance report / Intune compliance export,2026-05-01_A.8.9_Azure_PolicyCompliance_ITMgr_v1.csv,ISO 27001:2022 Annex A 8.9,2026-05-01,PR.PS-01,Secure Configuration,Review Azure Policy non-compliant resources monthly; assign remediation tasks with defined owners and due dates.
A.8.12,Data leakage prevention,Technological controls,M365,Data Protection Officer,Implemented,"Microsoft Purview DLP policies deployed covering Exchange, SharePoint, Teams, and OneDrive; policies target sensitive information types including financial data, PII, and health information.",DLP policy export / incident report,2026-05-01_A.8.12_Purview_DLPPolicy-Export_DPO_v1.csv,ISO 27001:2022 Annex A 8.12,2026-05-01,PR.DS-02,N/A,"Review DLP incident queue monthly; confirm policies are in Enforce (not Test) mode for all sensitive information types in scope."
A.8.15,Logging and monitoring,Technological controls,M365 / Azure / On-Prem,Security Operations Manager,Evidenced,"Unified Audit Log enabled in M365; Azure Diagnostic Settings routing logs to Log Analytics Workspace; Microsoft Sentinel ingesting M365 and Azure logs; on-premises WEF forwarding to SIEM.",UAL config export / Sentinel connector screenshot,2026-05-01_A.8.15_M365-AuditLogs_ConfigExport_ITSecurity_v1.csv,ISO 27001:2022 Annex A 8.15,2026-05-01,DE.CM-01,N/A,Confirm log retention meets minimum 90-day online and 12-month total requirement; validate Sentinel alert rules are active and assigned.
A.8.16,Monitoring activities,Technological controls,M365 / Azure,Security Operations Manager,Implemented,"Microsoft Sentinel analytic rules active for high-risk events; Defender XDR incidents reviewed daily by SOC; monthly threat hunting exercises documented; anomalous sign-in alerts configured.",Sentinel alert rule export / SOC review log,2026-05-01_A.8.16_Sentinel_AlertRules_SecOps_v1.json,ISO 27001:2022 Annex A 8.16,2026-05-01,DE.AE-02,N/A,Evidence must show alert review process is operational; suppressed or paused alert rules are a significant audit finding.
A.8.20,Networks security,Technological controls,Azure / On-Prem,Network Security Engineer,Implemented,"Azure NSGs applied to all subnets; Azure Firewall deployed at hub; on-premises perimeter firewall with documented ruleset; network segmentation diagram current and reviewed annually.",NSG export / firewall ruleset,2026-05-01_A.8.20_Azure_NSGRuleset_NetSec_v1.csv,ISO 27001:2022 Annex A 8.20,2026-05-01,PR.IR-01,Firewalls,Annual firewall ruleset review required; ensure legacy any/any rules are removed and all rules have documented business justification.
A.8.24,Use of cryptography,Technological controls,M365 / Azure,Cloud Security Architect,Implemented,"Azure Key Vault used for key management; TLS 1.2 minimum enforced on all Azure App Services and API endpoints; M365 data encrypted at rest using Microsoft-managed keys; BYOK evaluated for sensitive workloads.",Key Vault audit log / TLS configuration export,2026-05-01_A.8.24_Azure_KeyVault-AuditLog_CloudSec_v1.json,ISO 27001:2022 Annex A 8.24,2026-05-01,PR.DS-01,Secure Configuration,Document cryptographic algorithm standards in the cryptography policy; review annually against NCSC and NIST guidance.
A.8.28,Secure coding,Technological controls,Process,Development Lead,Designed,"Secure development lifecycle policy documented; SAST tooling (GitHub Advanced Security / Defender for DevOps) integrated into CI/CD pipelines; dependency scanning enabled; code review mandatory before merge.",SAST scan report / pipeline configuration,2026-05-01_A.8.28_GitHub_SASTReport_DevLead_v1.csv,ISO 27001:2022 Annex A 8.28,2026-05-01,PR.PS-04,N/A,Confirm SAST findings are tracked to closure; establish SLA for critical vulnerability remediation in code before deployment.
A.8.32,Change management,Technological controls,Process,IT Manager,Reviewed,"Change management procedure documented and operating via ServiceNow; all changes to production systems require CAB approval; emergency change process defined with post-implementation review.",Change log export / CAB minutes,2026-05-01_A.8.32_Process_ChangeLog_ITMgr_v1.csv,ISO 27001:2022 Annex A 8.32,2026-05-01,PR.PS-03,N/A,Sample 10 changes per audit period for evidence review; confirm emergency changes have retrospective CAB approval documented.
